Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
322,993,V,LOS,CKERSHAW-L,0,1,0,2,0,0,0,0,0,3,-170,-170,-1.5,-104,6.5,-110,6.5,-120
322,994,H,ARI,WMILEY-L,0,0,0,0,0,1,0,0,0,1,150,150,1.5,-116,6.5,-110,6.5,100
322,995,V,LOS,HRYU-L,1,0,2,0,2,1,1,0,0,7,-120,-119,-1.5,140,7.5,-120,7.5,-115
322,996,H,ARI,TCAHILL-R,0,0,0,0,0,0,0,1,4,5,110,109,1.5,-160,7.5,100,7.5,-105
330,997,V,LOS,HRYU-L,0,0,0,0,1,0,0,0,0,1,-105,-115,-1.5,150,6.5,-120,6.5,-105
330,998,H,SDG,ACASHNER-R,0,0,0,0,0,0,0,3,x,3,-105,105,1.5,-170,6.5,100,6.5,-115
331,901,V,CUB,SAMARDZIJA-R,0,0,0,0,0,0,0,0,0,0,145,170,1.5,-145,7,100,6.5,-110
331,902,H,PIT,FLIRIANO-L,0,0,0,0,0,0,0,0,0,1,-165,-190,-1.5,125,7,-120,6.5,-110
331,903,V,WAS,STRASBURG-R,0,2,0,0,0,0,2,0,1,9,-165,-179,-1.5,-105,6.5,-115,6.5,100
331,904,H,NYM,DGEE-R,3,1,0,0,0,0,0,1,0,7,145,159,1.5,-115,6.5,-105,6.5,-120
331,905,V,ATL,JTEHERAN-R,0,0,0,0,0,0,0,0,0,0,-115,-113,-1.5,145,7.5,-110,8,-105
331,906,H,MIL,YGALLARDO-R,0,0,0,2,0,0,0,0,x,2,105,103,1.5,-165,7.5,-110,8,-115
331,907,V,STL,WAINWRIGHT-R,0,0,0,0,0,0,1,0,0,1,-115,-120,-1.5,135,7,-110,7,-110
331,908,H,CIN,JCUETO-R,0,0,0,0,0,0,0,0,0,0,105,110,1.5,-155,7,-110,7,-110
331,909,V,COL,DELAROSA-L,0,0,0,0,0,1,0,0,0,1,140,130,1.5,-175,6.5,-110,6.5,100
331,910,H,MIA,JFERNANDZ-R,0,0,1,0,5,1,0,3,x,10,-155,-145,-1.5,155,6.5,-110,6.5,-120
331,911,V,SFO,BUMGARNER-L,0,0,1,0,1,1,4,0,2,9,-140,-118,-1.5,140,8,-120,8,-114
331,912,H,ARI,BMCCARTHY-R,0,0,0,4,2,1,0,0,1,8,125,108,1.5,-160,8,100,8,-106
331,913,V,KAN,JSHIELDS-R,0,0,0,3,0,0,0,0,0,3,140,133,1.5,-170,7,-120,7,-105
331,914,H,DET,JVERLANDE-R,0,1,0,0,0,0,2,0,1,4,-160,-148,-1.5,150,7,100,7,-115
331,915,V,BOS,JLESTER-L,0,0,0,1,0,0,0,0,0,1,-115,-115,-1.5,140,8.5,-115,9,105
331,916,H,BAL,CTILLMAN-R,0,1,0,0,0,0,1,0,x,2,105,105,1.5,-160,8.5,-105,9,-125
331,917,V,TOR,RDICKEY-R,0,0,0,0,0,0,0,2,0,2,145,144,1.5,-155,7,100,7,-105
331,918,H,TAM,DPRICE-L,1,2,1,0,2,0,0,3,x,9,-165,-164,-1.5,135,7,-120,7,-115
331,919,V,MIN,RNOLASCO-R,0,0,2,0,0,0,0,1,0,3,145,155,1.5,-145,7,-105,7,-120
331,920,H,CWS,CSALE-L,0,2,2,0,0,1,0,0,x,5,-165,-175,-1.5,125,7,-115,7,100
331,921,V,CLE,JMASTERSO-R,0,0,0,0,0,0,0,0,2,2,120,130,1.5,-175,7,-105,7,-114
331,922,H,OAK,SGRAY-R,0,0,0,0,0,0,0,0,0,0,-135,-145,-1.5,155,7,-115,7,-106
331,923,V,SEA,FHERNANDZ-R,0,1,0,0,0,1,2,0,6,10,120,104,1.5,-212,6.5,-110,7,-114
331,924,H,LAA,JWEAVER-R,2,0,1,0,0,0,0,0,0,3,-135,-114,-1.5,182,6.5,-110,7,-106
331,925,V,PHI,CLEE-L,0,6,0,1,2,4,0,1,0,14,-115,-105,1.5,-215,8,-110,7.5,-115
331,926,H,TEX,TSCHEPPER-R,0,4,3,0,1,0,2,0,0,10,105,-105,-1.5,185,8,-110,7.5,-105
401,951,V,LOS,ZGREINKE-R,2,0,0,1,0,0,0,0,0,3,-155,-150,-1.5,115,6.5,-110,6.5,-110
401,952,H,SDG,IKENNEDY-R,0,0,0,1,1,0,0,0,0,2,140,135,1.5,-135,6.5,-110,6.5,-110
401,953,V,COL,BANDERSON-L,0,0,0,2,0,0,0,1,0,3,110,-122,-1.5,145,7.5,100,7,-115
401,954,H,MIA,NEOVALDI-R,0,2,0,0,0,2,0,0,x,4,-120,112,1.5,-165,7.5,-120,7,-105
401,955,V,ATL,AWOOD-L,0,0,0,0,2,1,0,1,1,5,110,104,1.5,-205,8,100,8.5,-110
401,956,H,MIL,KLOHSE-R,1,0,0,0,0,0,0,1,0,2,-125,-114,-1.5,175,8,-120,8.5,-110
401,957,V,SFO,MCAIN-R,4,0,0,0,0,0,0,0,0,4,-115,107,1.5,-205,8.5,-105,8.5,-110
401,958,H,ARI,WMILEY-L,2,0,0,0,1,2,0,0,x,5,105,-117,-1.5,175,8.5,-115,8.5,-110
401,959,V,NYY,CSABATHIA-L,0,0,0,0,0,0,0,2,0,2,-160,-150,-1.5,110,8,-110,8.5,-120
